"AnnualCost","Available Meters","Average Demand","BuildingName","CAAN","CDD_AvgDay","Chilled Water Totalizer","Day of Week","Electricity Totalizer","EUI","Expected Chilled Water Use","Expected Electricity Use","Expected Steam Use","HDD_AvgDay","Minimum Demand","Month","Natural Gas Totalizer","Peak Demand","Sq.Ft.","Steam/Condensate Totalizer","Total_demand"
"PI Point not found 'AcademicSurge_AnnualCost'.","Elec",860,"Academic Surge Building","4632",0,0,0,7897511,"PI Point not found 'AcademicSurge_EUI'.",0,0,0,16.3287353515625,695,0,0,1179,125810,0,831.086486816406
"233495","Elec,CHW,Steam",2826,"Activities and Recreation Center","4799",0,5679518,0,3668244.25,"118.751586914062",0,0,0,16.3287353515625,1052,0,0,12654,178269,4763910,2290.57299804688
"PI Point not found 'AMRL_AnnualCost'.","Elec",49,"Advanced Materials Research Laboratory","4853",0,0,0,1435141.375,"PI Point not found 'AMRL_EUI'.",0,0,0,16.3287353515625,41,0,0,85,7560,0,53.9643096923828
"PI Point not found 'ATIRC_AnnualCost'.","Elec",175,"Advanced Transportation Infrastructure Research Center","4879",0,0,0,2415914.5,"PI Point not found 'ATIRC_EUI'.",0,0,0,16.3287353515625,105,0,0,434,18955,0,160.675537109375
"PI Point not found 'AggieStadium_AnnualCost'.","Elec",251,"Aggie Stadium","",0,0,0,5018810,"PI Point not found 'AggieStadium_EUI'.",0,0,0,16.3287353515625,130,0,0,723,34538,0,295.889068603516
"PI Point not found 'Agronomy.FL_AnnualCost'.","PI Point not found 'Agronomy.FL_Metering'.",61,"Agronomy Field Laboratory","4192",0,0,0,1120268,"80.2833938598633",0,0,0,16.3287353515625,29,0,0,227,7950,0,66.2714691162109
"PI Point not found 'Animal.Bldg_AnnualCost'.","PI Point not found 'Animal.Bldg_Metering'.",17,"Animal Building","4241",0,0,0,916452.3125,"Calc Failed",249,1,0,0,0,16.3287353515625,16,0,0,20,3562
"PI Point not found 'ARS.J1_AnnualCost'.","PI Point not found 'ARS.J1_Metering'.",106,"Animal Resource Service J1","3840",0,0,0,2137452.25,"45.6140251159668",0,0,0,16.3287353515625,70,0,11868930,172,23789,0,102.058052062988
"PI Point not found '0_AnnualCost'.","PI Point not found '0_Metering'.",1,"Ann E. Pitzer Center","TRUE",1,1,0,17835,"0",76199.828125,1,0,0,0,16.3287353515625,1,249,1,0,0
"PI Point not found 'Aquatic.Biology_AnnualCost'.","PI Point not found 'Aquatic.Biology_Metering'.",62,"Aquatic Biology & Environmental Science Bldg","3813",0,0,0,1286249.375,"71.9100723266602",0,0,0,16.3287353515625,44,0,0,88,12310,0,53.7083740234375
"PI Point not found 'ARCPavilion_AnnualCost'.","Elec",337,"ARC Pavilion","4444",0,0,0,6597712.5,"PI Point not found 'ARCPavilion_EUI'.",0,0,0,16.3287353515625,238,0,0,521,171940,0,358.877777099609
"PI Point not found 'Art_AnnualCost'.","Elec",588,"Art Building","3971",0,0,0,3423150.5,"PI Point not found 'Art_EUI'.",0,0,0,16.3287353515625,224,0,0,1778,0,0,544.766845703125
