"","Official.Name","Display.Name","System.Name","Asset.Number","Location","Affiliation","Category","Primary.Use","UBC.Code","Planning","Condition","Operations","Ownership","Financing","Address.Code","Floors","Height","Footprint","Basic.Gross","C.U.Gross","Circulation","Custodial","Mechanical","Parking","Toilet","Non.Assigned","Assignable","Space.Count","Net.Usable","Structural","Outside.Gross","Related.Gross","Maintained.Gross","Janitorized","Constructed","Occupied","Renovated","Vacated","Demolished","Construction","Capitalized","Replacement","Last.Reviewed","Prim..Usage..Percent.of.Net.Useable.","Primary.Usage..Type.","Prmary.Usage..SF.","Top.Org.with.Most.Space","Source...Campus.Steam.Loop","Sec..Usage..Percent.","Source...Campus.CHW.Loop","Secondary.Usage..Type.","Secondary.Usage..SF.","Dept..with.Most.Space","CAAN.x","CHW.Metered","Steam.Metered","Floor.Plans.PDF","CAAN.y","Utility","Var","WebUrl"
"1","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Rollover","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwZWR5DBvjr1kY2cPma4mLZgVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfFJPTExPVkVS"
"2","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Prefix kW","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwGe8evounNFsmP5zL0ANrWgVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfFBSRUZJWCBLVw"
"3","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Data Start","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwbnshCwDNdlQXYLI8qLznRwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfERBVEEgU1RBUlQ"
"4","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Demand_kBtu","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwMo2qCletSFo4mlicMj9FcQVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfERFTUFORF9LQlRV"
"5","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","BuildingName","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwZ8iCStnff1IKB9OvbzoqSAVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEJVSUxESU5HTkFNRQ"
"6","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Prefix kWh","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWws7daa-HgwlgWcNtVtdvnpwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfFBSRUZJWCBLV0g"
"7","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","MonthlyUsage","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwvtK0BGfsLVouIB6iSPIvzwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfE1PTlRITFlVU0FHRQ"
"8","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Rollover Count Year","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwNAiT03dqCVMAD_15MBmddAVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfFJPTExPVkVSIENPVU5UIFlFQVI"
"9","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Rollover Count Month","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwXpTYzcjK_lEquaeduoK_qwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfFJPTExPVkVSIENPVU5UIE1PTlRI"
"10","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","AnnualUsage","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwo-PpFsFNsVUJic36caAYUQVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEFOTlVBTFVTQUdF"
"11","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Annual Cost","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwI2gq7ro4plAZVBhuGKwl-wVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEFOTlVBTCBDT1NU"
"12","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","kWh","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwsd5ZkDC1jFIQPngjrUoxqwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEtXSA"
"13","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","kW","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWw2sDVYNIPR1YODsG1RUyETgVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEtX"
"14","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Sq Ft.","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwoIiYbjkxbFMZZkSW41v23QVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfFNRIEZULg"
"15","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Rollover Check","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwhoffN2dLmVQJ3UqQ_lIQcQVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfFJPTExPVkVSIENIRUNL"
"16","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","HourlyUsage","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwDMvBgg_z9lAzNasnh4MINwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEhPVVJMWVVTQUdF"
"17","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","kWh Cost","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwIZxM89Vne1kIvOmoTgFs6AVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEtXSCBDT1NU"
"18","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Electricity_EUI","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwz7g6VsxI_Fk0Px0uC3FJbwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEVMRUNUUklDSVRZX0VVSQ"
"19","Academic Surge Building","Academic Surge Building","ACADMC SURGE","4632","03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,46,62795,125590,439,29873,143,1643,0,2257,33916,82958,285,116874,8716,126029,125810,125810,116874,1992,"1992-08-01T07:00:00Z",NA,NA,NA,0,16722698,81583494,"2008-10-27T07:00:00Z",46,"Laboratory",53521,"COLLEGE OF ENGINEERING","Yes",26,"Yes","Circulation",29873,"WILDLIFE, FISH, & CONSERVATION BIOLOGY","4632","No","No","4632","4632","Electricity","Electricity Last Month Usage","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWw-EXGARuMqF8TMh5uvM6PxgVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEVMRUNUUklDSVRZIExBU1QgTU9OVEggVVNBR0U"
"20","Activities and Recreation Center","Activities and Recreation Center","ARC","4799","03 - Davis","C - General Campus & Health Sciences","G - General","REC - Athletics & Recreation","1 - Fire Resistive","P - Permanent","2 - Good","F - Zero ASF defaults to Student Fee OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,52,123189,154704,6832,21902,329,2523,0,1411,26165,118147,100,144312,10392,161536,158120,158120,144312,2002,"2002-04-15T07:00:00Z",NA,NA,NA,0,40366613,64469370,"2013-12-12T08:00:00Z",66,"Athletics / Recreation",96298,"VC STUDENT AFFAIRS","Yes",15,"Yes","Circulation",22392,"ARC / THE PAVILION","4799","Yes","Yes","4799","4799","ChilledWater","Heating Degree Days","A0EbgZy4oKQ9kiBiZJTW7eugwSCU6radQ5BG4fRgDcyrprwlYY7RAVi1lM4mI8tUvqZIAVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDVElWSVRJRVMgQU5EIFJFQ1JFQVRJT04gQ0VOVEVSXENISUxMRURXQVRFUnxIRUFUSU5HIERFR1JFRSBEQVlT"
"21","Activities and Recreation Center","Activities and Recreation Center","ARC","4799","03 - Davis","C - General Campus & Health Sciences","G - General","REC - Athletics & Recreation","1 - Fire Resistive","P - Permanent","2 - Good","F - Zero ASF defaults to Student Fee OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","CORE CAMPUS",2,52,123189,154704,6832,21902,329,2523,0,1411,26165,118147,100,144312,10392,161536,158120,158120,144312,2002,"2002-04-15T07:00:00Z",NA,NA,NA,0,40366613,64469370,"2013-12-12T08:00:00Z",66,"Athletics / Recreation",96298,"VC STUDENT AFFAIRS","Yes",15,"Yes","Circulation",22392,"ARC / THE PAVILION","4799","Yes","Yes","4799","4799","ChilledWater","MonthlyUsage","A0EbgZy4oKQ9kiBiZJTW7eugwSCU6radQ5BG4fRgDcyrprwQVUhqqSndl4x32sMZX_E8gVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDVElWSVRJRVMgQU5EIFJFQ1JFQVRJT04gQ0VOVEVSXENISUxMRURXQVRFUnxNT05USExZVVNBR0U"
