"BuildingName","values","timestamps","latitide","longitude","V6"
"Academic Surge Building",7878582,2017-01-18 00:00:00,38.5353,-121.75291,-9383.07534246612
"Academic Surge Building",7878803.5,2017-01-18 01:00:00,38.5353,-121.75291,-9161.57534246612
"Academic Surge Building",7879028.5,2017-01-18 02:00:00,38.5353,-121.75291,-8936.57534246612
"Academic Surge Building",7879253,2017-01-18 03:00:00,38.5353,-121.75291,-8712.07534246612
"Academic Surge Building",7879475.5,2017-01-18 04:00:00,38.5353,-121.75291,-8489.57534246612
"Academic Surge Building",7879696.5,2017-01-18 05:00:00,38.5353,-121.75291,-8268.57534246612
"Academic Surge Building",7879918.5,2017-01-18 06:00:00,38.5353,-121.75291,-8046.57534246612
"Academic Surge Building",7880168.5,2017-01-18 07:00:00,38.5353,-121.75291,-7796.57534246612
"Academic Surge Building",7880420.5,2017-01-18 08:00:00,38.5353,-121.75291,-7544.57534246612
"Academic Surge Building",7880687,2017-01-18 09:00:00,38.5353,-121.75291,-7278.07534246612
"Academic Surge Building",7880970,2017-01-18 10:00:00,38.5353,-121.75291,-6995.07534246612
"Academic Surge Building",7881266,2017-01-18 11:00:00,38.5353,-121.75291,-6699.07534246612
"Academic Surge Building",7881560,2017-01-18 12:00:00,38.5353,-121.75291,-6405.07534246612
"Academic Surge Building",7881858.5,2017-01-18 13:00:00,38.5353,-121.75291,-6106.57534246612
"Academic Surge Building",7882162.5,2017-01-18 14:00:00,38.5353,-121.75291,-5802.57534246612
"Academic Surge Building",7882464.5,2017-01-18 15:00:00,38.5353,-121.75291,-5500.57534246612
"Academic Surge Building",7882766,2017-01-18 16:00:00,38.5353,-121.75291,-5199.07534246612
"Academic Surge Building",7883060.5,2017-01-18 17:00:00,38.5353,-121.75291,-4904.57534246612
"Academic Surge Building",7883344.5,2017-01-18 18:00:00,38.5353,-121.75291,-4620.57534246612
"Academic Surge Building",7883622,2017-01-18 19:00:00,38.5353,-121.75291,-4343.07534246612
"Academic Surge Building",7883886.5,2017-01-18 20:00:00,38.5353,-121.75291,-4078.57534246612
"Academic Surge Building",7884149.5,2017-01-18 21:00:00,38.5353,-121.75291,-3815.57534246612
"Academic Surge Building",7884410.5,2017-01-18 22:00:00,38.5353,-121.75291,-3554.57534246612
"Academic Surge Building",7884652.5,2017-01-18 23:00:00,38.5353,-121.75291,-3312.57534246612
"Academic Surge Building",7884882.5,2017-01-19 00:00:00,38.5353,-121.75291,-3082.57534246612
"Academic Surge Building",7885112,2017-01-19 01:00:00,38.5353,-121.75291,-2853.07534246612
"Academic Surge Building",7885339.5,2017-01-19 02:00:00,38.5353,-121.75291,-2625.57534246612
"Academic Surge Building",7885562,2017-01-19 03:00:00,38.5353,-121.75291,-2403.07534246612
"Academic Surge Building",7885787,2017-01-19 04:00:00,38.5353,-121.75291,-2178.07534246612
"Academic Surge Building",7886012.5,2017-01-19 05:00:00,38.5353,-121.75291,-1952.57534246612
"Academic Surge Building",7886237,2017-01-19 06:00:00,38.5353,-121.75291,-1728.07534246612
"Academic Surge Building",7886484,2017-01-19 07:00:00,38.5353,-121.75291,-1481.07534246612
"Academic Surge Building",7886739.5,2017-01-19 08:00:00,38.5353,-121.75291,-1225.57534246612
"Academic Surge Building",7887012,2017-01-19 09:00:00,38.5353,-121.75291,-953.075342466123
"Academic Surge Building",7887299.5,2017-01-19 10:00:00,38.5353,-121.75291,-665.575342466123
"Academic Surge Building",7887595.5,2017-01-19 11:00:00,38.5353,-121.75291,-369.575342466123
"Academic Surge Building",7887897,2017-01-19 12:00:00,38.5353,-121.75291,-68.0753424661234
"Academic Surge Building",7888198.5,2017-01-19 13:00:00,38.5353,-121.75291,233.424657533877
"Academic Surge Building",7888494,2017-01-19 14:00:00,38.5353,-121.75291,528.924657533877
