"bldgKey","officialName","primaryDisplay","assetNumber","facilitiesCode","ucdhsBldgNum","location","affiliation","category","primaryUse","address","city","county","state","zip","countryCode","addressCode","latitude","longitude","occupied","onOffCampus","cefaName","cefaFireResistConsTypCd","planning","condition","defaultOMPElig","ompEligMethod","ownership","floors","height","footprint","perimeter","basicGross","cuGross","circulation","custodial","mechanical","parking","toilet","nasf","asf","spaceCount","netUsable","structural","outsideGross","relatedGross","maintainedGross","janitorized","constructed","renovated","vacated","demolished","ompEligSummary"
"DV-01-000001","Fred S. Wyatt Pavilion Theatre","Wyatt Pavilion","3370","C066",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","150 Arboretum Drive","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53812,-121.74669,"1907-01-01","ON-CAMPUS","WYATT","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,35,6168,NA,4683,1052,0,0,0,0,107,107,4294,13,4401,282,5735,5209,5209,4401,"1907-01-01","1963-01-01",NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000002","Silo","Silo","3270","E003",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","STH - Student Housing","420 Hutchison Drive","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53872,-121.75309,"1908-01-01","ON-CAMPUS","SILO","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",2,NA,15565,NA,22577,222,385,116,28,0,1327,1856,19278,44,21134,1443,22799,22688,22688,21134,"1908-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 0.0% / Fees 0.0% / Other 100.0%"
"DV-01-000003","North Hall","North Hall","3274","B008",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","180 East Quad","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54179,-121.74827,"1908-01-01","ON-CAMPUS","NORTH","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",4,37,7932,NA,23663,1427,3725,154,701,0,623,5203,11006,89,16209,7454,25090,24377,24377,16209,"1908-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 0.1% / Fees 99.9% / Other 0.0%"
"DV-01-000004","University House","University House & Annex","3307","B013",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","155 Peter J. Shields Avenue","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54103,-121.74743,"1908-01-01","ON-CAMPUS","UNIV HOUSE","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",2,16,3968,NA,3807,142,238,0,0,0,160,398,2983,16,3381,426,3949,3878,3878,3381,"1908-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 0.0% / Fees 100.0% / Other 0.0%"
"DV-01-000005","Temporary Building 026","Temporary Building 026","3715","C069",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","UNK - Unclassified","245 Cushing Way","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53767,-121.74893,"1909-01-01","ON-CAMPUS","TB  26","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,NA,300,NA,300,0,0,0,0,0,0,0,278,2,278,22,300,300,300,278,"1909-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000006","Valley Oak Cottage","Valley Oak Cottage","3233","E034",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","448 La Rue Road","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53393,-121.75323,"1910-01-01","ON-CAMPUS","VALLEY OAK","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,17,1416,NA,1381,0,0,0,0,0,0,0,1291,6,1291,90,1381,1381,1381,1291,"1910-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000007","South Hall","South Hall","3275","B011",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","160 East Quad","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54119,-121.74809,"1912-01-01","ON-CAMPUS","SOUTH","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",4,38,25970,NA,26128,933,6240,72,342,0,516,7170,15323,119,22493,3635,27061,26595,26595,22493,"1912-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 14.1% / Fees 85.9% / Other 0.0%"
"DV-01-000008","Hubert Heitman Staff Learning Center","Heitman Staff Learning Center","3341","E011",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","CLS - Classroom","426 Engineering Bikeway","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53778,-121.75275,"1913-01-01","ON-CAMPUS","HUB HEIT LC","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,26,3800,NA,4586,0,452,19,685,0,236,1392,2826,11,4218,368,4586,4586,4586,4218,"1913-01-01","2008-01-01",NA,NA,"Official CAMPUS OMP Fall 2014: State 100.0% / Fees 0.0% / Other 0.0%"
"DV-01-000009","Educational Opportunity Program","Educational Opportunity Program","3200","B014",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","175 Peter J. Shields Avenue","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.54084,-121.74792,"1914-01-01","ON-CAMPUS","EDUC OPP","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",2,25,1856,NA,1644,0,342,0,0,0,78,420,988,8,1408,236,1644,1644,1644,1408,"1914-01-01","1992-01-01",NA,NA,"Official CAMPUS OMP Fall 2014: State 0.0% / Fees 100.0% / Other 0.0%"
"DV-01-000012","Temporary Building 24 (Bike Barn)","Temporary Building 024","3371","E001",NA,"03 - Davis","C - General Campus & Health Sciences","G - General","SPC - Special Use","400 Hutchison Drive","Davis","Yolo","CA","95616-5270","USA","CORE CAMPUS",38.53865,-121.75222,"1916-01-01","ON-CAMPUS","TB  24","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","STND - Standard OMP Funding Eligibility (based on program)","UC - UC Owned, UC Constructed",1,29,4850,NA,5633,0,0,0,0,0,112,112,5062,15,5280,353,5633,5633,5633,5280,"1916-01-01",NA,NA,NA,"Official CAMPUS OMP Fall 2014: State 0.0% / Fees 0.0% / Other 100.0%"
