"featid","Key","Official.Name","Display.Name","System.Name","Asset.Number","Facilities.Code","Architect","Style","Location","Affiliation","Category","Primary.Use","UBC.Code","Planning","Condition","Operations","Ownership","Financing","Address","City","County","State","Zip.Code","Country","Address.Code","City.Code","County.Code","Floors","Height","Footprint","Perimeter","Basic.Gross","C.U.Gross","Circulation","Custodial","Mechanical","Parking","Toilet","Non.Assigned","Assignable","Space.Count","Net.Usable","Structural","Outside.Gross","Related.Gross","Maintained.Gross","Janitorized","Constructed","Occupied","Renovated","Vacated","Demolished","Construction","Capitalized","Replacement","Last.Reviewed","Prim..Usage..Percent.of.Net.Useable.","Primary.Usage..Type.","Prmary.Usage..SF.","Top.Org.with.Most.Space","Source...Campus.Steam.Loop","Sec..Usage..Percent.","Source...Campus.CHW.Loop","Secondary.Usage..Type.","Secondary.Usage..SF.","Dept..with.Most.Space","CAAN","CHW.Metered","Steam.Metered","Floor.Plans.PDF","Floor.Plans.DWG"
1,NA,"Transportation and Parking Services","Transportation and Parking Services","TAPS","4828","D098",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","SPT - Support","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","623 Kleiber Hall Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,2,0,13624,0,22563,0,2504,115,733,0,1103,4455,14489,70,18944,3619,22563,22563,22563,18944,2005,"2005-04-15T07:00:00Z",NA,NA,NA,0,6965279,11512388,"2012-05-22T07:00:00Z",76,"Office",14437,"ADMINISTRATIVE AND RESOURCE MANAGEMENT","No",13,"Yes","Circulation",2504,"TRANSPORTATION AND PARKING","4828","No","No","4828","4828"
2,NA,"Transportation and Parking Services","Transportation and Parking Services","TAPS","4828","D098",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","SPT - Support","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","623 Kleiber Hall Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,2,0,13624,0,22563,0,2504,115,733,0,1103,4455,14489,70,18944,3619,22563,22563,22563,18944,2005,"2005-04-15T07:00:00Z",NA,NA,NA,0,6965279,11512388,"2012-05-22T07:00:00Z",76,"Office",14437,"ADMINISTRATIVE AND RESOURCE MANAGEMENT","No",13,"Yes","Circulation",2504,"TRANSPORTATION AND PARKING","4828","No","No","4828","4828"
3,NA,"HE 1 Garage  (aka Suber's House Garage)","HE 1 Garage","HE 1 GAR","3601","N013",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","STR - Storage","5 - Wood Frame","P - Permanent","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UP - UC Owned, UC Purchased","STND - Standard OMP Funding Eligibility (based on program)","2812 Hutchison Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,0,480,0,480,0,0,0,0,0,0,0,424,3,424,56,480,480,480,424,1951,"1957-06-01T07:00:00Z",NA,NA,NA,0,7668,210506,NA,100,"Storage",424,"OPERATING BUDGET","No",NA,"No",NA,NA,"CENTRALLY MANAGED SPACE (ASF)","3601","No","No","3601","3601"
4,NA,"HE 1 Garage  (aka Suber's House Garage)","HE 1 Garage","HE 1 GAR","3601","N013",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","STR - Storage","5 - Wood Frame","P - Permanent","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UP - UC Owned, UC Purchased","STND - Standard OMP Funding Eligibility (based on program)","2812 Hutchison Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,0,480,0,480,0,0,0,0,0,0,0,424,3,424,56,480,480,480,424,1951,"1957-06-01T07:00:00Z",NA,NA,NA,0,7668,210506,NA,100,"Storage",424,"OPERATING BUDGET","No",NA,"No",NA,NA,"CENTRALLY MANAGED SPACE (ASF)","3601","No","No","3601","3601"
5,NA,"Bulk Mail Storage","Bulk Mail Storage","BULK MAIL ST","4580","L029",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","UNK - Unclassified","4 - Incombustible Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UP - UC Owned, UC Purchased","STND - Standard OMP Funding Eligibility (based on program)","Core Campus","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,11,900,0,1950,0,0,0,0,0,0,0,1940,3,1940,10,1950,1950,1950,1940,1988,"1988-01-01T08:00:00Z",NA,NA,NA,0,245822,855180,NA,72,"Shop",1398,"ADMINISTRATIVE AND RESOURCE MANAGEMENT","No",28,"No","Special",542,"FACILITIES BUILDING MAINTENANCE","4580","No","No","4580","4580"
6,NA,"ARS CARGO CONTAINER 8X40 2001","Animal Resource Service Conex 2001","ARS CONX2001","4788",NA,NA,NA,"03 - Davis","4 - Non-Inv Non-Standard Capital","M - Health Science","CST - Conex Box (for storage)","4 - Incombustible Frame","R - Relocatable","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","UP - UC Owned, UC Purchased","X100 - OMP 100% Other Funding","1018 Old Davis Rd.","Davis (Solano)","Solano","CA",95616,"USA","CORE CAMPUS",1474,48,1,12,320,0,0,0,0,0,0,0,0,0,296,1,296,-296,0,0,0,296,2001,"2001-07-01T07:00:00Z",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4788",NA,NA,"4788","4788"
7,NA,"Unitrans Maintenance Facility","Unitrans Maintenance Facility","UNITRANS MNT","4547","G063",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","SPT - Support","4 - Incombustible Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","800 Garrod Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,34,6638,0,6012,1252,123,0,87,0,163,373,5321,11,5694,318,7264,6638,6638,5694,1986,"1986-01-01T08:00:00Z",NA,NA,NA,0,6627911,2980902,NA,80,"Storage",4562,"VC STUDENT AFFAIRS","No",13,"No","Office",759,"ASUCD","4547","No","No","4547","4547"
8,NA,"Advanced Materials Research Laboratory","Advanced Materials Research Laboratory","ADV MAT RSLB","4853","E180",1,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","4 - Incombustible Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","665 Putah Creek Lodge Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,0,0,0,7502,116,1018,60,538,0,110,1726,5075,22,6801,701,7618,7560,7560,6801,2008,"2008-09-30T07:00:00Z",NA,NA,NA,5000000,4651629,4940447,"2008-05-19T07:00:00Z",53,"Laboratory",3604,"COLLEGE OF ENGINEERING","No",15,"No","Circulation",1018,"ENGR: DEPARTMENTS","4853","No","No","4853","4853"
9,NA,"Well D6a","Well D6A","WELL D6A","4299","Q040",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","WEL - Well, Water Tower, Reservoir, or Pumphouse","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","204 Road D-6","Davis","Yolo","CA",95616,"USA","CORE CAMPUS",1475,57,1,0,50,0,50,0,0,0,40,0,0,40,0,0,40,10,50,50,50,40,1960,"1960-09-01T07:00:00Z",NA,NA,NA,0,500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4299",NA,NA,"4299","4299"
10,NA,"Sewer Lift Station 12A","Sewer Lift Station 12A","LIFT STAT 12","4911","L041",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","WEL - Well, Water Tower, Reservoir, or Pumphouse","3 - Ordinary Masonry","P - Permanent","1 - New, built within the past 5 years","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","SEUN - State-Eligible Unfunded OMP","140 Hills Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,0,0,0,200,0,0,0,190,0,0,190,0,0,190,10,200,200,200,190,2010,"2010-05-31T07:00:00Z",NA,NA,NA,0,1598221,0,NA,100,"Mechanical",190,NA,"No",NA,"No",NA,NA,NA,"4911","No","No","4911","4911"
11,NA,"Center for Health & Environment Insectary","Center for Health & Environment Insectary","INSECT","4642","H317",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","4 - Incombustible Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UP - UC Owned, UC Purchased","STND - Standard OMP Funding Eligibility (based on program)","1318 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,128,0,128,0,0,0,0,0,0,0,90,1,90,38,128,128,128,90,1991,"1991-05-01T07:00:00Z",NA,NA,NA,0,4961,46856,NA,100,"Animal",90,"VICE CHANCELLOR- RESEARCH","No",NA,"No",NA,NA,"CENTER FOR HEALTH & THE ENVIRONMENT","4642","No","No","4642","4642"
12,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
13,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
14,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
15,NA,"Animal Resources Service K-1","Animal Resources Service K-1","ARS K-1","3704","H007",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","874 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,3754,0,3754,0,0,0,0,0,0,0,2619,5,2619,1135,3754,3754,3754,2619,1938,"1938-06-01T07:00:00Z",NA,NA,NA,0,50799,1540647,NA,80,"Special",2088,"SCHOOL OF VETERINARY MEDICINE","No",20,"No","Hospital",531,"VM: CENTER FOR LABORATORY ANIMAL SCIENCE","3704","No","No","3704","3704"
16,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
17,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
18,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
19,NA,"Animal Resources Service Z-3","Animal Resources Service Z-3","ARS Z-3","3702","H113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","O - Obsolete","5 - Untenable","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1313 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,1050,0,1050,0,0,0,0,0,0,0,960,1,960,90,1050,1050,1050,960,1951,"1951-06-01T07:00:00Z",NA,NA,NA,0,10544,384369,NA,100,"Special",960,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR EQUINE HEALTH","3702","No","No","3702","3702"
