"BuildingName","CAAN","Utility","Var","WebUrl"
"Academic Surge Building","4632","Electricity","Annual Cost","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwI2gq7ro4plAZVBhuGKwl-wVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEFOTlVBTCBDT1NU"
"Academic Surge Building","4632","Electricity","AnnualUsage","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwo-PpFsFNsVUJic36caAYUQVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEFOTlVBTFVTQUdF"
"Academic Surge Building","4632","Electricity","BuildingName","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwZ8iCStnff1IKB9OvbzoqSAVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEJVSUxESU5HTkFNRQ"
"Academic Surge Building","4632","Electricity","Data Start","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwbnshCwDNdlQXYLI8qLznRwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfERBVEEgU1RBUlQ"
"Academic Surge Building","4632","Electricity","Demand_kBtu","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwMo2qCletSFo4mlicMj9FcQVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfERFTUFORF9LQlRV"
"Academic Surge Building","4632","Electricity","Electricity Last Month Usage","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWw-EXGARuMqF8TMh5uvM6PxgVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEVMRUNUUklDSVRZIExBU1QgTU9OVEggVVNBR0U"
"Academic Surge Building","4632","Electricity","Electricity_EUI","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwz7g6VsxI_Fk0Px0uC3FJbwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEVMRUNUUklDSVRZX0VVSQ"
"Academic Surge Building","4632","Electricity","HourlyUsage","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwDMvBgg_z9lAzNasnh4MINwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEhPVVJMWVVTQUdF"
"Academic Surge Building","4632","Electricity","kW","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWw2sDVYNIPR1YODsG1RUyETgVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEtX"
"Academic Surge Building","4632","Electricity","kWh","A0EbgZy4oKQ9kiBiZJTW7eugwC6-3Qzx_5RGrBZiQlqSuWwsd5ZkDC1jFIQPngjrUoxqwVVRJTC1BRlxDRUZTXFVDREFWSVNcQlVJTERJTkdTXEFDQURFTUlDIFNVUkdFIEJVSUxESU5HXEVMRUNUUklDSVRZfEtXSA"
